letter,frequency
KS,82
KS,82
PS,82
ML,8
KS,8
NA,8
NA,8
NA,8
KS,8
KS,8
ML,8
NA,8
NA,8
NA,8
KS,8
NA,8
KS,8
NA,8
ML,8
ML,8
NA,8
ML,8
ML,8
NA,8
NA,8
KS,26
NA,26
PS,26
NA,26
NA,26
NA,26
NA,26
PS,26
NA,26
PS,26
PS,26
PS,26
NA,26
KS,26
KS,18
KS,18
KS,18
KS,18
NA,18
ML,18
KS,18
KS,18
NA,18
ML,65
KS,43
PS,20
NA,20
NA,20
KS,20
NA,20
NA,20
NA,20
KS,20
NA,20
PS,20
NA,20
PS,20
NA,20
NA,20
NA,20
NA,20
NA,20
NA,20
NA,20
NA,20
KS,19
NA,19
KS,19
KS,19
NA,19
KS,19
KS,19
KS,19
KS,19
NA,19
KS,19
KS,19
PS,19
PS,19
PS,19
KS,19
PS,80
KS,80
KS,80
NA,80
NA,80
NA,80
NA,80
NA,80
KS,80
NA,80
KS,80
NA,80
NA,80
NA,80
NA,80
KS,80
NA,80
KS,80
NA,80
NA,80
KS,80
NA,80
KS,41
KS,41
NA,41
PS,41
KS,41
NA,41
KS,41
KS,41
KS,41
NA,41
NA,41
KS,41
KS,41
KS,41
NA,41
NA,41
NA,41
NA,41
NA,41
PS,18
PS,18
PS,18
NA,18
ML,18
ML,67
ML,67
KS,67
NA,67
NA,67
NA,67
NA,67
KS,67
PS,67
PS,67
KS,67
NA,67
ML,67
ML,67
ML,67
PS,64
PS,64
PS,64
NA,64
NA,64
KS,64
PS,64
NA,64
PS,64
KS,52
KS,52
NA,52
NA,52
NA,52
KS,52
KS,52
KS,52
KS,52
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
NA,74
KS,74
KS,74
KS,74
KS,74
KS,74
NA,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,74
KS,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
ML,1
KS,1
NA,1
NA,1
KS,1
KS,1
NA,1
KS,57
KS,57
KS,73
KS,73
KS,73
KS,73
ML,73
PS,73
PS,73
NA,73
KS,73
ML,73
KS,73
KS,40
ML,40
KS,40
KS,40
KS,37
KS,37
ML,37
KS,34
KS,34
NA,34
KS,61
PS,61
NA,61
NA,61
