Row Labels,Count of timestamp
A0001,897
scroll_down,439
scroll_up,408
select,8
target_clicked,42
A0005,5998
scroll_down,4825
scroll_up,1093
select,13
target_clicked,67
A0008,4136
scroll_down,2393
scroll_up,1653
select,18
target_clicked,72
A0009,32844
scroll_down,26421
scroll_up,6345
select,22
target_clicked,56
A0010,16619
scroll_down,11619
scroll_up,4800
select,49
target_clicked,151
A0011,4111
scroll_down,1943
scroll_up,2076
select,10
target_clicked,82
A0014,5
select,2
target_clicked,3
A0015,307
scroll_down,171
scroll_up,135
target_clicked,1
A0018,468
scroll_down,327
scroll_up,132
select,1
target_clicked,8
A0019,1593
scroll_down,1079
scroll_up,457
target_clicked,57
A0020,15540
scroll_down,13044
scroll_up,2451
select,8
target_clicked,37
A0021,4631
scroll_down,3765
scroll_up,844
select,1
target_clicked,21
A0022,467
scroll_down,296
scroll_up,156
select,1
target_clicked,14
A0024,2065
scroll_down,1616
scroll_up,410
select,4
target_clicked,35
A0025,28691
scroll_down,21905
scroll_up,6699
select,22
target_clicked,65
A0026,34
select,7
target_clicked,27
A0029,7250
scroll_down,5432
scroll_up,1756
select,3
target_clicked,59
A0030,535
scroll_down,393
scroll_up,140
target_clicked,2
A0033,4542
scroll_down,3436
scroll_up,1084
select,9
target_clicked,13
A0034,758
scroll_down,493
scroll_up,259
target_clicked,6
A0037,1
target_clicked,1
A0039,15360
scroll_down,10951
scroll_up,4343
select,5
target_clicked,61
A0040,130
scroll_down,79
scroll_up,43
target_clicked,8
A0041,6154
scroll_down,4723
scroll_up,1303
select,23
target_clicked,105
A0042,5513
scroll_down,4138
scroll_up,1313
select,15
target_clicked,47
A0043,774
scroll_down,563
scroll_up,168
select,12
target_clicked,31
A0044,4626
scroll_down,3527
scroll_up,1070
select,3
target_clicked,26
A0046,140619
scroll_down,125603
scroll_up,14815
select,29
target_clicked,172
A0047,2677
scroll_down,1708
scroll_up,647
select,114
target_clicked,208
A0048,40332
scroll_down,34341
scroll_up,5972
select,3
target_clicked,16
A0049,7533
scroll_down,5473
scroll_up,2026
select,5
target_clicked,29
A0050,12991
scroll_down,10627
scroll_up,2313
select,3
target_clicked,48
A0052,6759
scroll_down,4170
scroll_up,2553
select,9
target_clicked,27
A0054,3281
scroll_down,2282
scroll_up,950
select,7
target_clicked,42
A0056,4143
scroll_down,2737
scroll_up,1384
target_clicked,22
A0057,10441
scroll_down,8857
scroll_up,1557
select,8
target_clicked,19
A0059,9060
scroll_down,6208
scroll_up,2830
select,7
target_clicked,15
A0061,10620
scroll_down,7612
scroll_up,2955
select,11
target_clicked,42
A0064,8535
scroll_down,7049
scroll_up,1460
select,5
target_clicked,21
A0065,1841
scroll_down,1296
scroll_up,527
select,1
target_clicked,17
A0066,8674
scroll_down,5254
scroll_up,3055
select,23
target_clicked,342
A0067,7472
scroll_down,5570
scroll_up,1879
select,2
target_clicked,21
A0069,15
target_clicked,15
A0071,27
select,3
target_clicked,24
A0073,6094
scroll_down,5208
scroll_up,866
select,2
target_clicked,18
A0074,19639
scroll_down,12210
scroll_up,6970
select,133
target_clicked,326
A0075,2307
scroll_down,1859
scroll_up,444
select,1
target_clicked,3
A0077,25305
scroll_down,16481
scroll_up,8804
select,4
target_clicked,16
A0080,355
scroll_down,150
scroll_up,11
select,18
target_clicked,176
A0081,5021
scroll_down,4334
scroll_up,681
target_clicked,6
A0082,9976
scroll_down,8409
scroll_up,1527
select,7
target_clicked,33
A0084,2331
scroll_down,1119
scroll_up,732
select,180
target_clicked,300
A0087,163
scroll_down,77
scroll_up,50
select,13
target_clicked,23
A0088,7665
scroll_down,5633
scroll_up,2004
select,7
target_clicked,21
B0005,15239
scroll_down,11421
scroll_up,3777
select,6
target_clicked,35
B0007,923
scroll_down,705
scroll_up,146
select,8
target_clicked,64
B0009,693
scroll_down,521
scroll_up,172
B0012,493
scroll_down,341
scroll_up,103
select,9
target_clicked,40
B0013,90
scroll_down,54
scroll_up,21
select,2
target_clicked,13
B0018,1531
scroll_down,1264
scroll_up,251
select,1
target_clicked,15
B0020,9097
scroll_down,5043
scroll_up,3885
select,15
target_clicked,154
B0021,4851
scroll_down,3327
scroll_up,1523
target_clicked,1
B0024,705
scroll_down,458
scroll_up,237
select,4
target_clicked,6
B0025,809
scroll_down,442
scroll_up,338
select,1
target_clicked,28
B0026,1412
scroll_down,913
scroll_up,470
target_clicked,29
B0027,13315
scroll_down,10733
scroll_up,2500
select,28
target_clicked,54
Grand Total,567083
